# ----------------------------- WARNNG --------------------------------
# The data you have obtained from this automated U.S. Geological Survey
# database have not received Director's approval and as such are
# provisional and subject to revision.  The data are released on the
# condition that neither the USGS nor the United States Government may
# be held liable for any damages resulting from its use.
#
# Additional information can be obtained from the USGS at
#   http://waterdata.usgs.gov/nwis/help/?provisional
#
# retrieved: 2006-06-04 23:40:13 EDT
#
# This file consists of tab-separated columns of data for a list of sites.
# Each site is separated by a header section of comments and new column
# definitions. All column headers include the following 3 fields.
#
# column        column definition
# ------------  -----------------------------------------
# agency_cd     Agency collection or maintaining the site
# site_no       USGS site identification number
# datetime      date and time in ISO format (YYYY-mm-dd)
#
# The remaining columns vary for each site depending on which data
# parameters are selected.  The data column names use the following form
# '##_#####' where the first two number sequence uniquely defines the
# sensor (the 'data descriptor') used to collect the data and the
# following 5 number sequence defines the 'parameter_cd' which describes
# the type of data shown in the column.
#
# Data for the following stations is contained in this file
# ---------------------------------------------------------
#  USGS 01100000 MERRIMACK RIVER BL CONCORD RIVER AT LOWELL, MA
#
# Available data at this site--lines with asterix '*' are included in this output.
#    DD parameter statistic - Description
#    --   -----     -----     ------------------------------------
#   *02   00060     00003   - Discharge, cubic feet per second (Mean)
#
# Data-value qualifiers included in this output: 
#     A  Approved for publication -- Processing and review completed.  
#     P  Provisional data subject to revision.  
#     e  Value has been estimated.  
# 
#agency_cd	site_no	datetime	02_00060_00003
#5s	15s	16s	14s
USGS	01100000	1923-10-03	2030_A
USGS	01100000	1923-10-04	1960_A
USGS	01100000	1923-10-05	1760_A
USGS	01100000	1923-10-06	1110_A
USGS	01100000	1923-10-07	300_A
USGS	01100000	1923-10-08	2030_A
USGS	01100000	1923-10-09	2030_A
USGS	01100000	1923-10-10	2100_A
USGS	01100000	1923-10-11	1890_A
USGS	01100000	1923-10-12	227_A
USGS	01100000	1923-10-13	253_A
USGS	01100000	1923-10-14	339_A
USGS	01100000	1923-10-15	2180_A
USGS	01100000	1923-10-16	2030_A
USGS	01100000	1923-10-17	1960_A
USGS	01100000	1923-10-18	1960_A
USGS	01100000	1923-10-19	1890_A
USGS	01100000	1923-10-20	1080_A
USGS	01100000	1923-10-21	488_A
USGS	01100000	1923-10-22	1960_A
USGS	01100000	1923-10-23	1820_A
USGS	01100000	1923-10-24	1960_A
USGS	01100000	1923-10-25	4350_A
USGS	01100000	1923-10-26	10000_A
USGS	01100000	1923-10-27	6810_A
USGS	01100000	1923-10-28	4130_A
USGS	01100000	1923-10-29	4680_A
USGS	01100000	1923-10-30	3600_A
USGS	01100000	1923-10-31	3080_A
USGS	01100000	1923-11-01	3080_A
USGS	01100000	1923-11-02	2780_A
USGS	01100000	1923-11-03	2600_A
USGS	01100000	1923-11-04	2030_A
USGS	01100000	1923-11-05	3280_A
USGS	01100000	1923-11-06	2780_A
USGS	01100000	1923-11-07	2600_A
USGS	01100000	1923-11-08	2510_A
USGS	01100000	1923-11-09	3490_A
USGS	01100000	1923-11-10	4350_A
USGS	01100000	1923-11-11	2100_A
USGS	01100000	1923-11-12	3380_A
USGS	01100000	1923-11-13	2780_A
USGS	01100000	1923-11-14	3080_A
USGS	01100000	1923-11-15	2690_A
USGS	01100000	1923-11-16	2690_A
USGS	01100000	1923-11-17	1430_A
USGS	01100000	1923-11-18	1080_A
USGS	01100000	1923-11-19	2780_A
USGS	01100000	1923-11-20	2880_A
USGS	01100000	1923-11-21	2690_A
USGS	01100000	1923-11-22	2340_A
USGS	01100000	1923-11-23	2340_A
USGS	01100000	1923-11-24	3700_A
USGS	01100000	1923-11-25	18900_A
USGS	01100000	1923-11-26	27300_A
USGS	01100000	1923-11-27	21200_A
USGS	01100000	1923-11-28	15900_A
USGS	01100000	1923-11-29	12200_A
USGS	01100000	1923-11-30	11300_A
USGS	01100000	1923-12-01	14900_A
USGS	01100000	1923-12-02	22800_A
USGS	01100000	1923-12-03	18900_A
USGS	01100000	1923-12-04	14500_A
USGS	01100000	1923-12-05	13200_A
USGS	01100000	1923-12-06	17800_A
USGS	01100000	1923-12-07	23600_A
USGS	01100000	1923-12-08	22800_A
USGS	01100000	1923-12-09	17800_A
USGS	01100000	1923-12-10	14900_A
USGS	01100000	1923-12-11	13500_A
USGS	01100000	1923-12-12	12500_A
USGS	01100000	1923-12-13	11300_A
USGS	01100000	1923-12-14	10900_A
USGS	01100000	1923-12-15	10600_A
USGS	01100000	1923-12-16	9400_A
USGS	01100000	1923-12-17	9100_A
USGS	01100000	1923-12-18	7360_A
USGS	01100000	1923-12-19	5640_A
USGS	01100000	1923-12-20	6680_A
USGS	01100000	1923-12-21	6810_A
USGS	01100000	1923-12-22	7360_A
USGS	01100000	1923-12-23	8220_A
USGS	01100000	1923-12-24	10000_A
USGS	01100000	1923-12-25	10000_A
USGS	01100000	1923-12-26	9700_A
USGS	01100000	1923-12-27	8510_A
USGS	01100000	1923-12-28	7640_A
USGS	01100000	1923-12-29	6150_A
USGS	01100000	1923-12-30	5640_A
USGS	01100000	1923-12-31	6810_A
USGS	01100000	1924-01-01	5900_A
USGS	01100000	1924-01-02	6280_A
USGS	01100000	1924-01-03	6150_A
USGS	01100000	1924-01-04	6680_A
USGS	01100000	1924-01-05	6280_A
USGS	01100000	1924-01-06	5400_A
USGS	01100000	1924-01-07	6150_A
USGS	01100000	1924-01-08	6150_A
USGS	01100000	1924-01-09	6680_A
USGS	01100000	1924-01-10	6150_A
USGS	01100000	1924-01-11	7640_A
USGS	01100000	1924-01-12	11300_A
USGS	01100000	1924-01-13	12900_A
USGS	01100000	1924-01-14	14900_A
USGS	01100000	1924-01-15	12900_A
USGS	01100000	1924-01-16	11600_A
USGS	01100000	1924-01-17	13800_A
USGS	01100000	1924-01-18	18500_A
USGS	01100000	1924-01-19	18100_A
USGS	01100000	1924-01-20	15600_A
USGS	01100000	1924-01-21	12500_A
USGS	01100000	1924-01-22	10900_A
USGS	01100000	1924-01-23	10000_A
USGS	01100000	1924-01-24	9400_A
USGS	01100000	1924-01-25	7640_A
USGS	01100000	1924-01-26	7360_A
USGS	01100000	1924-01-27	7930_A
USGS	01100000	1924-01-28	8220_A
USGS	01100000	1924-01-29	7080_A
USGS	01100000	1924-01-30	7080_A
USGS	01100000	1924-01-31	6810_A
USGS	01100000	1924-02-01	6410_A
USGS	01100000	1924-02-02	6810_A
USGS	01100000	1924-02-03	6680_A
USGS	01100000	1924-02-04	6280_A
USGS	01100000	1924-02-05	5280_A
USGS	01100000	1924-02-06	5520_A
USGS	01100000	1924-02-07	5770_A
USGS	01100000	1924-02-08	5520_A
USGS	01100000	1924-02-09	5640_A
USGS	01100000	1924-02-10	5040_A
USGS	01100000	1924-02-11	5770_A
USGS	01100000	1924-02-12	5280_A
USGS	01100000	1924-02-13	4800_A
USGS	01100000	1924-02-14	4570_A
USGS	01100000	1924-02-15	4570_A
USGS	01100000	1924-02-16	4800_A
USGS	01100000	1924-02-17	3910_A
USGS	01100000	1924-02-18	4680_A
USGS	01100000	1924-02-19	4350_A
USGS	01100000	1924-02-20	4460_A
USGS	01100000	1924-02-21	4350_A
USGS	01100000	1924-02-22	3800_A
USGS	01100000	1924-02-23	4130_A
USGS	01100000	1924-02-24	4350_A
USGS	01100000	1924-02-25	4570_A
USGS	01100000	1924-02-26	4350_A
USGS	01100000	1924-02-27	4020_A
USGS	01100000	1924-02-28	4570_A
USGS	01100000	1924-02-29	4130_A
USGS	01100000	1924-03-01	4350_A
USGS	01100000	1924-03-02	3800_A
USGS	01100000	1924-03-03	3800_A
USGS	01100000	1924-03-04	4130_A
USGS	01100000	1924-03-05	4350_A
USGS	01100000	1924-03-06	5280_A
USGS	01100000	1924-03-07	6280_A
USGS	01100000	1924-03-08	6540_A
USGS	01100000	1924-03-09	6540_A
USGS	01100000	1924-03-10	8800_A
USGS	01100000	1924-03-11	9700_A
USGS	01100000	1924-03-12	8800_A
USGS	01100000	1924-03-13	8220_A
USGS	01100000	1924-03-14	7640_A
USGS	01100000	1924-03-15	7080_A
USGS	01100000	1924-03-16	6410_A
USGS	01100000	1924-03-17	6810_A
USGS	01100000	1924-03-18	6410_A
USGS	01100000	1924-03-19	6540_A
USGS	01100000	1924-03-20	7080_A
USGS	01100000	1924-03-21	7640_A
USGS	01100000	1924-03-22	10000_A
USGS	01100000	1924-03-23	10600_A
USGS	01100000	1924-03-24	13500_A
USGS	01100000	1924-03-25	14900_A
USGS	01100000	1924-03-26	15200_A
USGS	01100000	1924-03-27	13800_A
USGS	01100000	1924-03-28	13200_A
USGS	01100000	1924-03-29	13500_A
USGS	01100000	1924-03-30	14200_A
USGS	01100000	1924-03-31	15200_A
USGS	01100000	1924-04-01	14500_A
USGS	01100000	1924-04-02	13800_A
USGS	01100000	1924-04-03	12500_A
USGS	01100000	1924-04-04	13200_A
USGS	01100000	1924-04-05	14900_A
USGS	01100000	1924-04-06	18100_A
USGS	01100000	1924-04-07	32200_A
USGS	01100000	1924-04-08	53500_A
USGS	01100000	1924-04-09	48000_A
USGS	01100000	1924-04-10	37400_A
USGS	01100000	1924-04-11	32200_A
USGS	01100000	1924-04-12	28200_A
USGS	01100000	1924-04-13	24400_A
USGS	01100000	1924-04-14	19700_A
USGS	01100000	1924-04-15	24800_A
USGS	01100000	1924-04-16	24400_A
USGS	01100000	1924-04-17	20800_A
USGS	01100000	1924-04-18	18500_A
USGS	01100000	1924-04-19	22400_A
USGS	01100000	1924-04-20	33100_A
USGS	01100000	1924-04-21	31300_A
USGS	01100000	1924-04-22	26100_A
USGS	01100000	1924-04-23	27300_A
USGS	01100000	1924-04-24	26500_A
USGS	01100000	1924-04-25	23200_A
USGS	01100000	1924-04-26	20100_A
USGS	01100000	1924-04-27	17400_A
USGS	01100000	1924-04-28	16600_A
USGS	01100000	1924-04-29	16300_A
USGS	01100000	1924-04-30	15900_A
USGS	01100000	1924-05-01	17000_A
USGS	01100000	1924-05-02	24000_A
USGS	01100000	1924-05-03	23600_A
USGS	01100000	1924-05-04	18100_A
USGS	01100000	1924-05-05	18100_A
USGS	01100000	1924-05-06	18900_A
USGS	01100000	1924-05-07	15900_A
USGS	01100000	1924-05-08	14200_A
USGS	01100000	1924-05-09	14200_A
USGS	01100000	1924-05-10	17000_A
USGS	01100000	1924-05-11	17000_A
USGS	01100000	1924-05-12	17400_A
USGS	01100000	1924-05-13	22000_A
USGS	01100000	1924-05-14	25300_A
USGS	01100000	1924-05-15	22800_A
USGS	01100000	1924-05-16	20500_A
USGS	01100000	1924-05-17	18100_A
USGS	01100000	1924-05-18	14900_A
USGS	01100000	1924-05-19	14200_A
