Grid	Lat/Lon hddd°mm.mmm'
Datum	WGS 84

Header	Name	Description	Type	Position	Altitude	Depth	Proximity	Temperature	Display Mode	Color	Symbol	Facility	City	State	Country	Date Modified	Link	Categories

Waypoint	FRODO		User Waypoint	N42 49.271 W70 48.804	29 ft				Symbol & Name	Unknown	Contact, Biker							
Waypoint	GANDALF		User Waypoint	N42 48.929 W70 47.413	0.4 ft				Symbol & Name	Unknown	Contact, Ranger							
Waypoint	GIMLI		User Waypoint	N42 48.710 W70 48.192	0.4 ft				Symbol & Name	Unknown	Contact, Goatee							
Waypoint	LEGOLAS		User Waypoint	N42 48.328 W70 48.374	0.4 ft				Symbol & Name	Unknown	Contact, Alien							
Waypoint	PIPPIN		User Waypoint	N41 35.694 W70 54.600	45 ft				Symbol & Name	Unknown	Contact, Pirate							
Waypoint	SAMWISE		User Waypoint	N42 48.338 W70 48.309	0.4 ft				Symbol & Name	Unknown	Contact, Ball Cap							
Waypoint	STRIDER		User Waypoint	N42 48.788 W70 47.606	0.4 ft				Symbol & Name	Unknown	Contact, Spike							


Header	Name	Start Time	Elapsed Time	Length	Average Speed	Link

Track	ACTIVE LOG	5/21/2006 6:58:05 AM 	00:23:31	1.08 mi	2.8 mph	

Header	Position	Time	Altitude	Depth	Leg Length	Leg Time	Leg Speed	Leg Course

Trackpoint	N42 48.761 W70 51.963	5/21/2006 7:06:21 AM 	34 ft		8 ft	00:00:15	0.36 mph	0° true
Trackpoint	N42 48.763 W70 51.961	5/21/2006 7:06:36 AM 	41 ft		10 ft	00:00:15	0.44 mph	36° true
Trackpoint	N42 48.763 W70 51.961	5/21/2006 7:06:51 AM 	41 ft		0 ft	00:00:15	0 mph	0° true
Trackpoint	N42 48.763 W70 51.961	5/21/2006 7:07:06 AM 	32 ft		0 ft	00:00:15	0 mph	0° true
Trackpoint	N42 48.763 W70 51.961	5/21/2006 7:07:21 AM 	38 ft		0 ft	00:00:15	0 mph	0° true
Trackpoint	N42 48.763 W70 51.961	5/21/2006 7:07:36 AM 	40 ft		0 ft	00:00:15	0 mph	0° true
Trackpoint	N42 48.763 W70 51.963	5/21/2006 7:07:51 AM 	40 ft		6 ft	00:00:15	0.26 mph	270° true
Trackpoint	N42 48.763 W70 51.963	5/21/2006 7:08:05 AM 	38 ft		0 ft	00:00:14	0 mph	0° true
Trackpoint	N42 48.763 W70 51.961	5/21/2006 7:08:21 AM 	32 ft		6 ft	00:00:16	0.24 mph	90° true
Trackpoint	N42 48.763 W70 51.961	5/21/2006 7:08:36 AM 	29 ft		0 ft	00:00:15	0 mph	0° true
Trackpoint	N42 48.763 W70 51.961	5/21/2006 7:08:51 AM 	26 ft		0 ft	00:00:15	0 mph	0° true
Trackpoint	N42 48.764 W70 51.961	5/21/2006 7:09:06 AM 	18 ft		8 ft	00:00:15	0.36 mph	0° true
Trackpoint	N42 48.764 W70 51.961	5/21/2006 7:09:21 AM 	21 ft		0 ft	00:00:15	0 mph	0° true
Trackpoint	N42 48.764 W70 51.961	5/21/2006 7:09:36 AM 	24 ft		0 ft	00:00:15	0 mph	0° true
Trackpoint	N42 48.763 W70 51.961	5/21/2006 7:09:51 AM 	27 ft		8 ft	00:00:15	0.36 mph	180° true
Trackpoint	N42 48.763 W70 51.961	5/21/2006 7:10:06 AM 	23 ft		0 ft	00:00:15	0 mph	0° true
Trackpoint	N42 48.763 W70 51.961	5/21/2006 7:10:21 AM 	23 ft		0 ft	00:00:15	0 mph	0° true
Trackpoint	N42 48.761 W70 51.961	5/21/2006 7:10:36 AM 	34 ft		8 ft	00:00:15	0.36 mph	180° true
Trackpoint	N42 48.761 W70 51.963	5/21/2006 7:10:51 AM 	37 ft		6 ft	00:00:15	0.26 mph	270° true
Trackpoint	N42 48.761 W70 51.963	5/21/2006 7:11:06 AM 	40 ft		0 ft	00:00:15	0 mph	0° true
Trackpoint	N42 48.761 W70 51.963	5/21/2006 7:11:21 AM 	43 ft		0 ft	00:00:15	0 mph	0° true
Trackpoint	N42 48.760 W70 51.963	5/21/2006 7:11:36 AM 	48 ft		8 ft	00:00:15	0.36 mph	180° true
Trackpoint	N42 48.760 W70 51.963	5/21/2006 7:11:51 AM 	48 ft		0 ft	00:00:15	0 mph	0° true
Trackpoint	N42 48.760 W70 51.963	5/21/2006 7:12:06 AM 	52 ft		0 ft	00:00:15	0 mph	0° true
Trackpoint	N42 48.760 W70 51.961	5/21/2006 7:12:21 AM 	51 ft		6 ft	00:00:15	0.26 mph	90° true
Trackpoint	N42 48.759 W70 51.961	5/21/2006 7:12:36 AM 	51 ft		8 ft	00:00:15	0.36 mph	180° true
Trackpoint	N42 48.758 W70 51.957	5/21/2006 7:12:51 AM 	51 ft		19 ft	00:00:15	0.86 mph	114° true
Trackpoint	N42 48.756 W70 51.948	5/21/2006 7:13:06 AM 	52 ft		41 ft	00:00:15	1.9 mph	101° true
Trackpoint	N42 48.758 W70 51.942	5/21/2006 7:13:21 AM 	51 ft		30 ft	00:00:15	1.4 mph	75° true
Trackpoint	N42 48.776 W70 51.950	5/21/2006 7:13:36 AM 	43 ft		115 ft	00:00:15	5.2 mph	343° true
Trackpoint	N42 48.797 W70 51.939	5/21/2006 7:13:51 AM 	30 ft		141 ft	00:00:15	6.4 mph	19° true
Trackpoint	N42 48.801 W70 51.902	5/21/2006 7:14:06 AM 	2 ft		168 ft	00:00:15	7.7 mph	82° true
Trackpoint	N42 48.797 W70 51.862	5/21/2006 7:14:21 AM 	-1.1 ft		180 ft	00:00:15	8.2 mph	98° true
Trackpoint	N42 48.792 W70 51.820	5/21/2006 7:14:36 AM 	-9.0 ft		192 ft	00:00:15	8.7 mph	99° true
Trackpoint	N42 48.785 W70 51.782	5/21/2006 7:14:51 AM 	-27.9 ft		173 ft	00:00:15	7.9 mph	106° true
Trackpoint	N42 48.773 W70 51.746	5/21/2006 7:15:06 AM 	-56.3 ft		176 ft	00:00:15	8.0 mph	114° true
Trackpoint	N42 48.765 W70 51.708	5/21/2006 7:15:21 AM 	-76.8 ft		179 ft	00:00:15	8.1 mph	105° true
Trackpoint	N42 48.791 W70 51.678	5/21/2006 7:15:36 AM 	-70.5 ft		205 ft	00:00:15	9.3 mph	40° true
Trackpoint	N42 48.790 W70 51.641	5/21/2006 7:15:51 AM 	-64.2 ft		167 ft	00:00:15	7.6 mph	93° true
Trackpoint	N42 48.783 W70 51.602	5/21/2006 7:16:06 AM 	-78.4 ft		177 ft	00:00:15	8.0 mph	103° true
Trackpoint	N42 48.785 W70 51.567	5/21/2006 7:16:21 AM 	-83.1 ft		155 ft	00:00:15	7.1 mph	87° true
Trackpoint	N42 48.788 W70 51.531	5/21/2006 7:16:36 AM 	-89.4 ft		163 ft	00:00:15	7.4 mph	82° true
Trackpoint	N42 48.791 W70 51.497	5/21/2006 7:16:51 AM 	-91.0 ft		156 ft	00:00:15	7.1 mph	84° true
Trackpoint	N42 48.795 W70 51.462	5/21/2006 7:17:06 AM 	-91.0 ft		157 ft	00:00:15	7.1 mph	81° true
Trackpoint	N42 48.799 W70 51.428	5/21/2006 7:17:21 AM 	-105.2 ft		151 ft	00:00:15	6.9 mph	81° true
Trackpoint	N42 48.801 W70 51.392	5/21/2006 7:17:36 AM 	-132.0 ft		162 ft	00:00:15	7.4 mph	84° true
Trackpoint	N42 48.800 W70 51.355	5/21/2006 7:17:51 AM 	-141.5 ft		167 ft	00:00:15	7.6 mph	93° true
Trackpoint	N42 48.801 W70 51.320	5/21/2006 7:18:06 AM 	-141.5 ft		155 ft	00:00:15	7.1 mph	87° true
Trackpoint	N42 48.803 W70 51.284	5/21/2006 7:18:21 AM 	-141.5 ft		161 ft	00:00:15	7.3 mph	87° true
Trackpoint	N42 48.804 W70 51.249	5/21/2006 7:18:36 AM 	-139.9 ft		155 ft	00:00:15	7.1 mph	87° true
Trackpoint	N42 48.813 W70 51.215	5/21/2006 7:18:51 AM 	-111.5 ft		165 ft	00:00:15	7.5 mph	71° true
Trackpoint	N42 48.805 W70 51.177	5/21/2006 7:19:06 AM 	-117.8 ft		173 ft	00:00:15	7.9 mph	106° true
Trackpoint	N42 48.816 W70 51.146	5/21/2006 7:19:21 AM 	-91.0 ft		152 ft	00:00:15	6.9 mph	66° true
Trackpoint	N42 48.822 W70 51.114	5/21/2006 7:19:36 AM 	-103.6 ft		149 ft	00:00:15	6.8 mph	75° true
Trackpoint	N42 48.823 W70 51.079	5/21/2006 7:19:51 AM 	-102.1 ft		155 ft	00:00:15	7.1 mph	87° true
Trackpoint	N42 48.826 W70 51.045	5/21/2006 7:20:06 AM 	-100.5 ft		156 ft	00:00:15	7.1 mph	84° true
Trackpoint	N42 48.828 W70 51.011	5/21/2006 7:20:21 AM 	-100.5 ft		150 ft	00:00:15	6.8 mph	84° true
Trackpoint	N42 48.832 W70 50.975	5/21/2006 7:20:36 AM 	-83.1 ft		163 ft	00:00:15	7.4 mph	82° true
Trackpoint	N42 48.840 W70 50.940	5/21/2006 7:20:51 AM 	-83.1 ft		162 ft	00:00:15	7.4 mph	73° true
Trackpoint	N42 48.849 W70 50.907	5/21/2006 7:21:06 AM 	-83.1 ft		159 ft	00:00:15	7.2 mph	70° true
Trackpoint	N42 48.857 W70 50.873	5/21/2006 7:21:21 AM 	-83.1 ft		157 ft	00:00:15	7.1 mph	73° true
Trackpoint	N42 48.864 W70 50.839	5/21/2006 7:21:36 AM 	-83.1 ft		162 ft	00:00:15	7.4 mph	73° true

Track	ACTIVE LOG 001	5/21/2006 7:22:08 AM 	00:04:45	0.519 mi	6.6 mph	

Header	Position	Time	Altitude	Depth	Leg Length	Leg Time	Leg Speed	Leg Course

Trackpoint	N42 48.855 W70 50.756	5/21/2006 7:22:08 AM 	-80.0 ft
Trackpoint	N42 48.881 W70 50.729	5/21/2006 7:22:23 AM 	-13.7 ft		198 ft	00:00:15	9.0 mph	38° true
Trackpoint	N42 48.875 W70 50.697	5/21/2006 7:22:38 AM 	-20.0 ft		149 ft	00:00:15	6.8 mph	105° true
Trackpoint	N42 48.886 W70 50.666	5/21/2006 7:22:53 AM 	-20.0 ft		155 ft	00:00:15	7.0 mph	63° true
Trackpoint	N42 48.899 W70 50.637	5/21/2006 7:23:08 AM 	-23.2 ft		154 ft	00:00:15	7.0 mph	59° true
Trackpoint	N42 48.911 W70 50.607	5/21/2006 7:23:23 AM 	-23.2 ft		150 ft	00:00:15	6.8 mph	62° true
Trackpoint	N42 48.919 W70 50.577	5/21/2006 7:23:38 AM 	-24.8 ft		140 ft	00:00:15	6.4 mph	70° true
Trackpoint	N42 48.925 W70 50.548	5/21/2006 7:23:53 AM 	-24.8 ft		138 ft	00:00:15	6.3 mph	73° true
Trackpoint	N42 48.939 W70 50.519	5/21/2006 7:24:08 AM 	-29.5 ft		153 ft	00:00:15	7.0 mph	56° true
Trackpoint	N42 48.949 W70 50.491	5/21/2006 7:24:23 AM 	-32.7 ft		141 ft	00:00:15	6.4 mph	64° true
Trackpoint	N42 48.958 W70 50.463	5/21/2006 7:24:38 AM 	-34.2 ft		138 ft	00:00:15	6.3 mph	67° true
Trackpoint	N42 48.969 W70 50.436	5/21/2006 7:24:53 AM 	-37.4 ft		136 ft	00:00:15	6.2 mph	63° true
Trackpoint	N42 48.979 W70 50.407	5/21/2006 7:25:08 AM 	-39.0 ft		141 ft	00:00:15	6.4 mph	64° true
Trackpoint	N42 48.988 W70 50.378	5/21/2006 7:25:23 AM 	-39.0 ft		143 ft	00:00:15	6.5 mph	67° true
Trackpoint	N42 49.000 W70 50.351	5/21/2006 7:25:38 AM 	-40.6 ft		140 ft	00:00:15	6.4 mph	60° true
Trackpoint	N42 49.009 W70 50.325	5/21/2006 7:25:53 AM 	-42.1 ft		127 ft	00:00:15	5.8 mph	64° true
Trackpoint	N42 49.019 W70 50.298	5/21/2006 7:26:08 AM 	-42.1 ft		136 ft	00:00:15	6.2 mph	63° true
Trackpoint	N42 49.029 W70 50.272	5/21/2006 7:26:23 AM 	-42.1 ft		131 ft	00:00:15	6.0 mph	61° true
Trackpoint	N42 49.038 W70 50.245	5/21/2006 7:26:38 AM 	-42.1 ft		133 ft	00:00:15	6.0 mph	66° true
Trackpoint	N42 49.049 W70 50.218	5/21/2006 7:26:53 AM 	-42.1 ft		136 ft	00:00:15	6.2 mph	63° true

Track	ACTIVE LOG 002	5/21/2006 7:28:13 AM 	00:23:46	2.45 mi	6.2 mph	

Header	Position	Time	Altitude	Depth	Leg Length	Leg Time	Leg Speed	Leg Course

Trackpoint	N42 49.145 W70 50.071	5/21/2006 7:28:13 AM 	-171.4 ft
Trackpoint	N42 49.134 W70 50.033	5/21/2006 7:28:29 AM 	-95.7 ft		186 ft	00:00:16	7.9 mph	112° true
Trackpoint	N42 49.140 W70 50.002	5/21/2006 7:28:44 AM 	-81.6 ft		143 ft	00:00:15	6.5 mph	74° true
Trackpoint	N42 49.146 W70 49.972	5/21/2006 7:28:59 AM 	-102.1 ft		138 ft	00:00:15	6.3 mph	73° true
Trackpoint	N42 49.146 W70 49.940	5/21/2006 7:29:14 AM 	-59.5 ft		144 ft	00:00:15	6.5 mph	90° true
Trackpoint	N42 49.149 W70 49.908	5/21/2006 7:29:29 AM 	-32.7 ft		145 ft	00:00:15	6.6 mph	84° true
