Grid	Lat/Lon hddd°mm.mmm'
Datum	WGS 84

Header	Name	Description	Type	Position	Altitude	Depth	Proximity	Temperature	Display Mode	Color	Symbol	Facility	City	State	Country	Date Modified	Link	Categories

Waypoint	FRODO		User Waypoint	N42 49.271 W70 48.804	29 ft				Symbol & Name	Unknown	Contact, Biker							
Waypoint	GANDALF		User Waypoint	N42 48.929 W70 47.413	0.4 ft				Symbol & Name	Unknown	Contact, Ranger							
Waypoint	GIMLI		User Waypoint	N42 48.710 W70 48.192	0.4 ft				Symbol & Name	Unknown	Contact, Goatee							
Waypoint	LEGOLAS		User Waypoint	N42 48.328 W70 48.374	0.4 ft				Symbol & Name	Unknown	Contact, Alien							
Waypoint	PIPPIN		User Waypoint	N41 35.694 W70 54.600	45 ft				Symbol & Name	Unknown	Contact, Pirate							
Waypoint	SAMWISE		User Waypoint	N42 48.338 W70 48.309	0.4 ft				Symbol & Name	Unknown	Contact, Ball Cap							
Waypoint	STRIDER		User Waypoint	N42 48.788 W70 47.606	0.4 ft				Symbol & Name	Unknown	Contact, Spike							


Header	Name	Start Time	Elapsed Time	Length	Average Speed	Link

Track	ACTIVE LOG	5/21/2006 6:58:05 AM 	00:23:31	1.08 mi	2.8 mph	

Header	Position	Time	Altitude	Depth	Leg Length	Leg Time	Leg Speed	Leg Course

Trackpoint	N42 48.485 W70 48.271	5/21/2006 11:52:55 AM 	7 ft		41 ft	00:00:15	1.9 mph	196° true
Trackpoint	N42 48.479 W70 48.275	5/21/2006 11:53:10 AM 	7 ft		36 ft	00:00:15	1.6 mph	209° true
Trackpoint	N42 48.474 W70 48.278	5/21/2006 11:53:25 AM 	8 ft		33 ft	00:00:15	1.5 mph	200° true
Trackpoint	N42 48.468 W70 48.280	5/21/2006 11:53:40 AM 	8 ft		41 ft	00:00:15	1.9 mph	196° true
Trackpoint	N42 48.463 W70 48.284	5/21/2006 11:53:55 AM 	10 ft		36 ft	00:00:15	1.6 mph	209° true
Trackpoint	N42 48.458 W70 48.287	5/21/2006 11:54:10 AM 	8 ft		33 ft	00:00:15	1.5 mph	200° true
Trackpoint	N42 48.452 W70 48.291	5/21/2006 11:54:25 AM 	8 ft		36 ft	00:00:15	1.6 mph	209° true
Trackpoint	N42 48.447 W70 48.295	5/21/2006 11:54:40 AM 	7 ft		36 ft	00:00:15	1.6 mph	209° true
Trackpoint	N42 48.442 W70 48.299	5/21/2006 11:54:55 AM 	7 ft		36 ft	00:00:15	1.6 mph	209° true
Trackpoint	N42 48.438 W70 48.305	5/21/2006 11:55:10 AM 	7 ft		37 ft	00:00:15	1.7 mph	231° true
Trackpoint	N42 48.434 W70 48.310	5/21/2006 11:55:25 AM 	7 ft		33 ft	00:00:15	1.5 mph	224° true
Trackpoint	N42 48.431 W70 48.317	5/21/2006 11:55:40 AM 	7 ft		37 ft	00:00:15	1.7 mph	231° true
Trackpoint	N42 48.425 W70 48.322	5/21/2006 11:55:55 AM 	7 ft		39 ft	00:00:15	1.8 mph	216° true
Trackpoint	N42 48.423 W70 48.327	5/21/2006 11:56:10 AM 	5 ft		28 ft	00:00:15	1.3 mph	236° true
Trackpoint	N42 48.419 W70 48.332	5/21/2006 11:56:25 AM 	5 ft		33 ft	00:00:15	1.5 mph	224° true
Trackpoint	N42 48.415 W70 48.337	5/21/2006 11:56:40 AM 	5 ft		33 ft	00:00:15	1.5 mph	224° true
Trackpoint	N42 48.411 W70 48.342	5/21/2006 11:56:55 AM 	4 ft		33 ft	00:00:15	1.5 mph	224° true
Trackpoint	N42 48.409 W70 48.349	5/21/2006 11:57:10 AM 	4 ft		33 ft	00:00:15	1.5 mph	241° true
Trackpoint	N42 48.405 W70 48.354	5/21/2006 11:57:25 AM 	4 ft		33 ft	00:00:15	1.5 mph	224° true
Trackpoint	N42 48.402 W70 48.359	5/21/2006 11:57:40 AM 	4 ft		28 ft	00:00:15	1.3 mph	236° true
Trackpoint	N42 48.398 W70 48.363	5/21/2006 11:57:55 AM 	4 ft		29 ft	00:00:15	1.3 mph	216° true
Trackpoint	N42 48.396 W70 48.368	5/21/2006 11:58:10 AM 	4 ft		28 ft	00:00:15	1.3 mph	236° true
Trackpoint	N42 48.392 W70 48.373	5/21/2006 11:58:25 AM 	5 ft		33 ft	00:00:15	1.5 mph	224° true
Trackpoint	N42 48.389 W70 48.377	5/21/2006 11:58:40 AM 	4 ft		23 ft	00:00:15	1.1 mph	228° true
Trackpoint	N42 48.386 W70 48.382	5/21/2006 11:58:55 AM 	2 ft		33 ft	00:00:15	1.5 mph	224° true
Trackpoint	N42 48.382 W70 48.387	5/21/2006 11:59:10 AM 	4 ft		33 ft	00:00:15	1.5 mph	224° true
Trackpoint	N42 48.379 W70 48.391	5/21/2006 11:59:25 AM 	2 ft		23 ft	00:00:15	1.1 mph	228° true
Trackpoint	N42 48.376 W70 48.396	5/21/2006 11:59:40 AM 	2 ft		28 ft	00:00:15	1.3 mph	236° true
Trackpoint	N42 48.373 W70 48.400	5/21/2006 11:59:55 AM 	4 ft		29 ft	00:00:15	1.3 mph	216° true
Trackpoint	N42 48.370 W70 48.404	5/21/2006 12:00:10 PM 	4 ft		23 ft	00:00:15	1.1 mph	228° true
Trackpoint	N42 48.366 W70 48.408	5/21/2006 12:00:25 PM 	4 ft		29 ft	00:00:15	1.3 mph	216° true
Trackpoint	N42 48.364 W70 48.411	5/21/2006 12:00:40 PM 	4 ft		19 ft	00:00:15	0.88 mph	216° true
Trackpoint	N42 48.361 W70 48.413	5/21/2006 12:00:55 PM 	4 ft		19 ft	00:00:15	0.88 mph	216° true
Trackpoint	N42 48.357 W70 48.417	5/21/2006 12:01:10 PM 	4 ft		29 ft	00:00:15	1.3 mph	216° true
Trackpoint	N42 48.355 W70 48.421	5/21/2006 12:01:25 PM 	4 ft		23 ft	00:00:15	1.1 mph	228° true
Trackpoint	N42 48.351 W70 48.423	5/21/2006 12:01:40 PM 	4 ft		26 ft	00:00:15	1.2 mph	206° true
Trackpoint	N42 48.348 W70 48.426	5/21/2006 12:01:55 PM 	4 ft		19 ft	00:00:15	0.88 mph	216° true
Trackpoint	N42 48.344 W70 48.429	5/21/2006 12:02:10 PM 	5 ft		26 ft	00:00:15	1.2 mph	206° true
Trackpoint	N42 48.342 W70 48.430	5/21/2006 12:02:25 PM 	5 ft		17 ft	00:00:15	0.76 mph	200° true
Trackpoint	N42 48.339 W70 48.432	5/21/2006 12:02:40 PM 	5 ft		19 ft	00:00:15	0.88 mph	216° true
Trackpoint	N42 48.335 W70 48.434	5/21/2006 12:02:55 PM 	4 ft		24 ft	00:00:15	1.1 mph	194° true
Trackpoint	N42 48.333 W70 48.436	5/21/2006 12:03:10 PM 	5 ft		19 ft	00:00:15	0.88 mph	216° true
Trackpoint	N42 48.329 W70 48.438	5/21/2006 12:03:25 PM 	5 ft		24 ft	00:00:15	1.1 mph	194° true
Trackpoint	N42 48.326 W70 48.439	5/21/2006 12:03:40 PM 	5 ft		17 ft	00:00:15	0.76 mph	200° true
Trackpoint	N42 48.322 W70 48.441	5/21/2006 12:03:55 PM 	5 ft		26 ft	00:00:15	1.2 mph	206° true
Trackpoint	N42 48.320 W70 48.444	5/21/2006 12:04:10 PM 	7 ft		19 ft	00:00:15	0.88 mph	216° true
Trackpoint	N42 48.316 W70 48.445	5/21/2006 12:04:25 PM 	7 ft		24 ft	00:00:15	1.1 mph	194° true
Trackpoint	N42 48.312 W70 48.447	5/21/2006 12:04:40 PM 	7 ft		24 ft	00:00:15	1.1 mph	194° true
Trackpoint	N42 48.307 W70 48.449	5/21/2006 12:04:55 PM 	5 ft		33 ft	00:00:15	1.5 mph	200° true
Trackpoint	N42 48.303 W70 48.450	5/21/2006 12:05:10 PM 	5 ft		24 ft	00:00:15	1.1 mph	194° true
Trackpoint	N42 48.301 W70 48.453	5/21/2006 12:05:25 PM 	5 ft		19 ft	00:00:15	0.88 mph	216° true
Trackpoint	N42 48.297 W70 48.454	5/21/2006 12:05:40 PM 	4 ft		24 ft	00:00:15	1.1 mph	194° true
Trackpoint	N42 48.295 W70 48.456	5/21/2006 12:05:55 PM 	4 ft		10 ft	00:00:15	0.44 mph	216° true
Trackpoint	N42 48.292 W70 48.457	5/21/2006 12:06:10 PM 	4 ft		24 ft	00:00:15	1.1 mph	194° true
Trackpoint	N42 48.290 W70 48.458	5/21/2006 12:06:25 PM 	4 ft		10 ft	00:00:15	0.44 mph	216° true
Trackpoint	N42 48.289 W70 48.461	5/21/2006 12:06:40 PM 	4 ft		14 ft	00:00:15	0.63 mph	236° true
Trackpoint	N42 48.288 W70 48.458	5/21/2006 12:06:55 PM 	5 ft		14 ft	00:00:15	0.63 mph	124° true
Trackpoint	N42 48.286 W70 48.461	5/21/2006 12:07:10 PM 	5 ft		14 ft	00:00:15	0.63 mph	236° true
Trackpoint	N42 48.286 W70 48.458	5/21/2006 12:07:25 PM 	4 ft		11 ft	00:00:15	0.52 mph	90° true
Trackpoint	N42 48.289 W70 48.458	5/21/2006 12:07:40 PM 	2 ft		16 ft	00:00:15	0.71 mph	0° true
Trackpoint	N42 48.290 W70 48.458	5/21/2006 12:07:55 PM 	2 ft		8 ft	00:00:15	0.36 mph	0° true
Trackpoint	N42 48.293 W70 48.461	5/21/2006 12:08:10 PM 	2 ft		19 ft	00:00:15	0.88 mph	324° true
Trackpoint	N42 48.293 W70 48.461	5/21/2006 12:08:25 PM 	2 ft		0 ft	00:00:15	0 mph	0° true
Trackpoint	N42 48.294 W70 48.459	5/21/2006 12:08:40 PM 	5 ft		10 ft	00:00:15	0.44 mph	36° true
Trackpoint	N42 48.295 W70 48.458	5/21/2006 12:08:55 PM 	4 ft		10 ft	00:00:15	0.44 mph	36° true
Trackpoint	N42 48.295 W70 48.459	5/21/2006 12:09:10 PM 	4 ft		6 ft	00:00:15	0.26 mph	270° true
Trackpoint	N42 48.295 W70 48.457	5/21/2006 12:09:25 PM 	2 ft		11 ft	00:00:15	0.52 mph	90° true
Trackpoint	N42 48.295 W70 48.457	5/21/2006 12:09:40 PM 	2 ft		0 ft	00:00:15	0 mph	0° true
Trackpoint	N42 48.295 W70 48.458	5/21/2006 12:09:55 PM 	2 ft		6 ft	00:00:15	0.26 mph	270° true
Trackpoint	N42 48.294 W70 48.452	5/21/2006 12:10:10 PM 	0.5 ft		30 ft	00:00:15	1.4 mph	105° true
Trackpoint	N42 48.294 W70 48.452	5/21/2006 12:10:25 PM 	0.5 ft		0 ft	00:00:15	0 mph	0° true
Trackpoint	N42 48.295 W70 48.453	5/21/2006 12:10:40 PM 	4 ft		10 ft	00:00:15	0.44 mph	324° true
Trackpoint	N42 48.294 W70 48.452	5/21/2006 12:10:55 PM 	4 ft		10 ft	00:00:15	0.44 mph	144° true
Trackpoint	N42 48.293 W70 48.454	5/21/2006 12:11:10 PM 	7 ft		14 ft	00:00:15	0.63 mph	236° true
Trackpoint	N42 48.293 W70 48.456	5/21/2006 12:11:25 PM 	7 ft		6 ft	00:00:15	0.26 mph	270° true
Trackpoint	N42 48.293 W70 48.456	5/21/2006 12:11:40 PM 	5 ft		0 ft	00:00:15	0 mph	0° true
Trackpoint	N42 48.292 W70 48.456	5/21/2006 12:11:55 PM 	5 ft		8 ft	00:00:15	0.36 mph	180° true
Trackpoint	N42 48.290 W70 48.456	5/21/2006 12:12:10 PM 	4 ft		8 ft	00:00:15	0.36 mph	180° true
Trackpoint	N42 48.290 W70 48.457	5/21/2006 12:12:25 PM 	4 ft		6 ft	00:00:15	0.26 mph	270° true
Trackpoint	N42 48.289 W70 48.458	5/21/2006 12:12:40 PM 	4 ft		10 ft	00:00:15	0.44 mph	216° true
Trackpoint	N42 48.288 W70 48.458	5/21/2006 12:12:55 PM 	5 ft		8 ft	00:00:15	0.36 mph	180° true
Trackpoint	N42 48.285 W70 48.458	5/21/2006 12:13:10 PM 	7 ft		16 ft	00:00:15	0.71 mph	180° true
Trackpoint	N42 48.284 W70 48.458	5/21/2006 12:13:25 PM 	7 ft		8 ft	00:00:15	0.36 mph	180° true
Trackpoint	N42 48.283 W70 48.458	5/21/2006 12:13:40 PM 	5 ft		8 ft	00:00:15	0.36 mph	180° true
Trackpoint	N42 48.280 W70 48.454	5/21/2006 12:13:55 PM 	7 ft		23 ft	00:00:15	1.1 mph	132° true
Trackpoint	N42 48.281 W70 48.458	5/21/2006 12:14:10 PM 	5 ft		19 ft	00:00:15	0.86 mph	294° true
Trackpoint	N42 48.281 W70 48.459	5/21/2006 12:14:25 PM 	7 ft		6 ft	00:00:15	0.26 mph	270° true
Trackpoint	N42 48.283 W70 48.458	5/21/2006 12:14:40 PM 	5 ft		10 ft	00:00:15	0.44 mph	36° true
Trackpoint	N42 48.284 W70 48.458	5/21/2006 12:14:55 PM 	7 ft		8 ft	00:00:15	0.36 mph	0° true
Trackpoint	N42 48.285 W70 48.457	5/21/2006 12:15:10 PM 	5 ft		10 ft	00:00:15	0.44 mph	36° true
Trackpoint	N42 48.286 W70 48.456	5/21/2006 12:15:25 PM 	4 ft		10 ft	00:00:15	0.44 mph	36° true
Trackpoint	N42 48.288 W70 48.457	5/21/2006 12:15:40 PM 	4 ft		10 ft	00:00:15	0.44 mph	324° true
Trackpoint	N42 48.288 W70 48.457	5/21/2006 12:15:55 PM 	2 ft		0 ft	00:00:15	0 mph	0° true
Trackpoint	N42 48.289 W70 48.457	5/21/2006 12:16:10 PM 	4 ft		8 ft	00:00:15	0.36 mph	0° true
Trackpoint	N42 48.289 W70 48.459	5/21/2006 12:16:25 PM 	2 ft		11 ft	00:00:15	0.52 mph	270° true
Trackpoint	N42 48.290 W70 48.458	5/21/2006 12:16:40 PM 	5 ft		10 ft	00:00:15	0.44 mph	36° true
Trackpoint	N42 48.292 W70 48.459	5/21/2006 12:16:55 PM 	5 ft		10 ft	00:00:15	0.44 mph	324° true
Trackpoint	N42 48.292 W70 48.458	5/21/2006 12:17:10 PM 	4 ft		6 ft	00:00:15	0.26 mph	90° true
Trackpoint	N42 48.292 W70 48.459	5/21/2006 12:17:25 PM 	4 ft		6 ft	00:00:15	0.26 mph	270° true
Trackpoint	N42 48.292 W70 48.458	5/21/2006 12:17:40 PM 	4 ft		6 ft	00:00:15	0.26 mph	90° true
Trackpoint	N42 48.292 W70 48.458	5/21/2006 12:17:55 PM 	5 ft		0 ft	00:00:15	0 mph	0° true
Trackpoint	N42 48.292 W70 48.459	5/21/2006 12:18:10 PM 	5 ft		6 ft	00:00:15	0.26 mph	270° true
Trackpoint	N42 48.292 W70 48.462	5/21/2006 12:18:25 PM 	7 ft		11 ft	00:00:15	0.52 mph	270° true
Trackpoint	N42 48.293 W70 48.463	5/21/2006 12:18:40 PM 	7 ft		10 ft	00:00:15	0.44 mph	324° true
Trackpoint	N42 48.293 W70 48.465	5/21/2006 12:18:55 PM 	8 ft		6 ft	00:00:15	0.26 mph	270° true
Trackpoint	N42 48.293 W70 48.465	5/21/2006 12:19:10 PM 	8 ft		0 ft	00:00:15	0 mph	0° true
Trackpoint	N42 48.293 W70 48.465	5/21/2006 12:19:25 PM 	8 ft		0 ft	00:00:15	0 mph	0° true
Trackpoint	N42 48.293 W70 48.466	5/21/2006 12:19:40 PM 	8 ft		6 ft	00:00:15	0.26 mph	270° true
Trackpoint	N42 48.293 W70 48.465	5/21/2006 12:19:55 PM 	7 ft		6 ft	00:00:15	0.26 mph	90° true
Trackpoint	N42 48.294 W70 48.466	5/21/2006 12:20:10 PM 	7 ft		10 ft	00:00:15	0.44 mph	324° true
Trackpoint	N42 48.294 W70 48.466	5/21/2006 12:20:25 PM 	7 ft		0 ft	00:00:15	0 mph	0° true
Trackpoint	N42 48.294 W70 48.466	5/21/2006 12:20:40 PM 	8 ft		0 ft	00:00:15	0 mph	0° true
Trackpoint	N42 48.294 W70 48.466	5/21/2006 12:20:55 PM 	8 ft		0 ft	00:00:15	0 mph	0° true
Trackpoint	N42 48.294 W70 48.466	5/21/2006 12:21:10 PM 	8 ft		0 ft	00:00:15	0 mph	0° true
Trackpoint	N42 48.294 W70 48.466	5/21/2006 12:21:25 PM 	10 ft		0 ft	00:00:15	0 mph	0° true
Trackpoint	N42 48.294 W70 48.466	5/21/2006 12:21:40 PM 	10 ft		0 ft	00:00:15	0 mph	0° true
Trackpoint	N42 48.298 W70 48.467	5/21/2006 12:21:55 PM 	13 ft		24 ft	00:00:15	1.1 mph	346° true
Trackpoint	N42 48.307 W70 48.463	5/21/2006 12:22:10 PM 	13 ft		58 ft	00:00:15	2.6 mph	17° true
Trackpoint	N42 48.319 W70 48.461	5/21/2006 12:22:25 PM 	16 ft		71 ft	00:00:15	3.2 mph	9° true
Trackpoint	N42 48.325 W70 48.459	5/21/2006 12:22:40 PM 	16 ft		40 ft	00:00:15	1.8 mph	8° true
Trackpoint	N42 48.325 W70 48.459	5/21/2006 12:22:55 PM 	15 ft		0 ft	00:00:15	0 mph	0° true
Trackpoint	N42 48.325 W70 48.459	5/21/2006 12:23:10 PM 	13 ft		0 ft	00:00:15	0 mph	0° true
Trackpoint	N42 48.325 W70 48.459	5/21/2006 12:23:25 PM 	11 ft		0 ft	00:00:15	0 mph	0° true
Trackpoint	N42 48.319 W70 48.463	5/21/2006 12:23:40 PM 	11 ft		43 ft	00:00:15	1.9 mph	204° true
Trackpoint	N42 48.310 W70 48.467	5/21/2006 12:23:55 PM 	13 ft		58 ft	00:00:15	2.6 mph	197° true
Trackpoint	N42 48.301 W70 48.471	5/21/2006 12:24:10 PM 	16 ft		58 ft	00:00:15	2.6 mph	197° true
Trackpoint	N42 48.293 W70 48.475	5/21/2006 12:24:25 PM 	19 ft		50 ft	00:00:15	2.3 mph	200° true
Trackpoint	N42 48.283 W70 48.476	5/21/2006 12:24:40 PM 	21 ft		63 ft	00:00:15	2.9 mph	185° true
Trackpoint	N42 48.273 W70 48.479	5/21/2006 12:24:55 PM 	19 ft		56 ft	00:00:15	2.5 mph	192° true
Trackpoint	N42 48.264 W70 48.481	5/21/2006 12:25:10 PM 	19 ft		56 ft	00:00:15	2.5 mph	192° true
Trackpoint	N42 48.255 W70 48.483	5/21/2006 12:25:25 PM 	18 ft		55 ft	00:00:15	2.5 mph	186° true
Trackpoint	N42 48.245 W70 48.484	5/21/2006 12:25:40 PM 	18 ft		63 ft	00:00:15	2.9 mph	185° true
Trackpoint	N42 48.240 W70 48.485	5/21/2006 12:25:55 PM 	18 ft		32 ft	00:00:15	1.4 mph	190° true
Trackpoint	N42 48.240 W70 48.485	5/21/2006 12:26:10 PM 	19 ft		0 ft	00:00:15	0 mph	0° true
Trackpoint	N42 48.230 W70 48.488	5/21/2006 12:26:25 PM 	23 ft		64 ft	00:00:15	2.9 mph	190° true
Trackpoint	N42 48.219 W70 48.488	5/21/2006 12:26:40 PM 	21 ft		63 ft	00:00:15	2.8 mph	180° true
Trackpoint	N42 48.210 W70 48.489	5/21/2006 12:26:55 PM 	21 ft		55 ft	00:00:15	2.5 mph	186° true
Trackpoint	N42 48.201 W70 48.489	5/21/2006 12:27:10 PM 	19 ft		55 ft	00:00:15	2.5 mph	180° true
Trackpoint	N42 48.191 W70 48.490	5/21/2006 12:27:25 PM 	24 ft		63 ft	00:00:15	2.9 mph	185° true
Trackpoint	N42 48.182 W70 48.492	5/21/2006 12:27:40 PM 	30 ft		55 ft	00:00:15	2.5 mph	186° true
Trackpoint	N42 48.173 W70 48.493	5/21/2006 12:27:55 PM 	29 ft		55 ft	00:00:15	2.5 mph	186° true
Trackpoint	N42 48.164 W70 48.493	5/21/2006 12:28:10 PM 	27 ft		55 ft	00:00:15	2.5 mph	180° true
Trackpoint	N42 48.154 W70 48.494	5/21/2006 12:28:25 PM 	26 ft		63 ft	00:00:15	2.9 mph	185° true
Trackpoint	N42 48.145 W70 48.494	5/21/2006 12:28:40 PM 	24 ft		55 ft	00:00:15	2.5 mph	180° true
Trackpoint	N42 48.136 W70 48.495	5/21/2006 12:28:55 PM 	24 ft		55 ft	00:00:15	2.5 mph	186° true
Trackpoint	N42 48.127 W70 48.495	5/21/2006 12:29:10 PM 	24 ft		55 ft	00:00:15	2.5 mph	180° true
Trackpoint	N42 48.118 W70 48.497	5/21/2006 12:29:25 PM 	23 ft		55 ft	00:00:15	2.5 mph	186° true
Trackpoint	N42 48.109 W70 48.499	5/21/2006 12:29:40 PM 	24 ft		56 ft	00:00:15	2.5 mph	192° true
Trackpoint	N42 48.100 W70 48.501	5/21/2006 12:29:55 PM 	26 ft		55 ft	00:00:15	2.5 mph	186° true
Trackpoint	N42 48.091 W70 48.501	5/21/2006 12:30:10 PM 	27 ft		55 ft	00:00:15	2.5 mph	180° true
Trackpoint	N42 48.080 W70 48.502	5/21/2006 12:30:25 PM 	29 ft		63 ft	00:00:15	2.9 mph	185° true
Trackpoint	N42 48.071 W70 48.502	5/21/2006 12:30:40 PM 	29 ft		55 ft	00:00:15	2.5 mph	180° true
Trackpoint	N42 48.062 W70 48.502	5/21/2006 12:30:55 PM 	27 ft		55 ft	00:00:15	2.5 mph	180° true
Trackpoint	N42 48.053 W70 48.502	5/21/2006 12:31:10 PM 	26 ft		55 ft	00:00:15	2.5 mph	180° true
Trackpoint	N42 48.043 W70 48.502	5/21/2006 12:31:25 PM 	29 ft		63 ft	00:00:15	2.8 mph	180° true
Trackpoint	N42 48.034 W70 48.501	5/21/2006 12:31:40 PM 	27 ft		55 ft	00:00:15	2.5 mph	174° true
Trackpoint	N42 48.025 W70 48.499	5/21/2006 12:31:55 PM 	27 ft		55 ft	00:00:15	2.5 mph	174° true
Trackpoint	N42 48.016 W70 48.498	5/21/2006 12:32:10 PM 	26 ft		55 ft	00:00:15	2.5 mph	174° true
Trackpoint	N42 48.007 W70 48.498	5/21/2006 12:32:25 PM 	27 ft		55 ft	00:00:15	2.5 mph	180° true
Trackpoint	N42 47.999 W70 48.498	5/21/2006 12:32:40 PM 	29 ft		47 ft	00:00:15	2.1 mph	180° true
Trackpoint	N42 47.990 W70 48.497	5/21/2006 12:32:55 PM 	27 ft		55 ft	00:00:15	2.5 mph	174° true
Trackpoint	N42 47.981 W70 48.497	5/21/2006 12:33:10 PM 	30 ft		55 ft	00:00:15	2.5 mph	180° true
Trackpoint	N42 47.971 W70 48.495	5/21/2006 12:33:25 PM 	27 ft		63 ft	00:00:15	2.9 mph	175° true
Trackpoint	N42 47.962 W70 48.494	5/21/2006 12:33:40 PM 	27 ft		55 ft	00:00:15	2.5 mph	174° true
Trackpoint	N42 47.953 W70 48.493	5/21/2006 12:33:55 PM 	27 ft		55 ft	00:00:15	2.5 mph	174° true
Trackpoint	N42 47.944 W70 48.492	5/21/2006 12:34:10 PM 	27 ft		55 ft	00:00:15	2.5 mph	174° true
Trackpoint	N42 47.935 W70 48.489	5/21/2006 12:34:25 PM 	29 ft		56 ft	00:00:15	2.5 mph	168° true
Trackpoint	N42 47.925 W70 48.488	5/21/2006 12:34:40 PM 	29 ft		63 ft	00:00:15	2.9 mph	175° true
Trackpoint	N42 47.917 W70 48.490	5/21/2006 12:34:55 PM 	32 ft		48 ft	00:00:15	2.2 mph	194° true
Trackpoint	N42 47.918 W70 48.499	5/21/2006 12:35:10 PM 	30 ft		41 ft	00:00:15	1.9 mph	281° true
Trackpoint	N42 47.918 W70 48.514	5/21/2006 12:35:25 PM 	32 ft		63 ft	00:00:15	2.9 mph	270° true
Trackpoint	N42 47.914 W70 48.523	5/21/2006 12:35:40 PM 	38 ft		47 ft	00:00:15	2.1 mph	240° true
Trackpoint	N42 47.916 W70 48.523	5/21/2006 12:35:55 PM 	32 ft		8 ft	00:00:15	0.36 mph	0° true
Trackpoint	N42 47.914 W70 48.521	5/21/2006 12:36:10 PM 	24 ft		10 ft	00:00:15	0.44 mph	144° true
Trackpoint	N42 47.914 W70 48.523	5/21/2006 12:36:25 PM 	26 ft		6 ft	00:00:15	0.26 mph	270° true
Trackpoint	N42 47.914 W70 48.523	5/21/2006 12:36:40 PM 	34 ft		0 ft	00:00:15	0 mph	0° true
Trackpoint	N42 47.916 W70 48.524	5/21/2006 12:36:55 PM 	41 ft		10 ft	00:00:15	0.44 mph	324° true
Trackpoint	N42 47.914 W70 48.523	5/21/2006 12:37:10 PM 	43 ft		10 ft	00:00:15	0.44 mph	144° true
Trackpoint	N42 47.914 W70 48.524	5/21/2006 12:37:25 PM 	45 ft		6 ft	00:00:15	0.26 mph	270° true
Trackpoint	N42 47.916 W70 48.525	5/21/2006 12:37:40 PM 	43 ft		10 ft	00:00:15	0.44 mph	324° true
Trackpoint	N42 47.913 W70 48.533	5/21/2006 12:37:55 PM 	38 ft		38 ft	00:00:15	1.7 mph	246° true
Trackpoint	N42 47.919 W70 48.577	5/21/2006 12:38:10 PM 	35 ft		199 ft	00:00:15	9.1 mph	281° true
Trackpoint	N42 47.923 W70 48.644	5/21/2006 12:38:25 PM 	34 ft		300 ft	00:00:15	14 mph	274° true
Trackpoint	N42 47.927 W70 48.725	5/21/2006 12:38:40 PM 	35 ft		363 ft	00:00:15	17 mph	274° true
Trackpoint	N42 47.922 W70 48.820	5/21/2006 12:38:55 PM 	40 ft		427 ft	00:00:15	19 mph	266° true
Trackpoint	N42 47.900 W70 48.953	5/21/2006 12:39:10 PM 	43 ft		607 ft	00:00:15	28 mph	257° true
Trackpoint	N42 47.886 W70 49.102	5/21/2006 12:39:25 PM 	43 ft		673 ft	00:00:15	31 mph	263° true
Trackpoint	N42 47.869 W70 49.265	5/21/2006 12:39:40 PM 	57 ft		737 ft	00:00:15	34 mph	262° true
Trackpoint	N42 47.843 W70 49.429	5/21/2006 12:39:55 PM 	48 ft		747 ft	00:00:15	34 mph	258° true
Trackpoint	N42 47.819 W70 49.612	5/21/2006 12:40:10 PM 	41 ft		830 ft	00:00:15	38 mph	260° true
Trackpoint	N42 47.807 W70 49.784	5/21/2006 12:40:25 PM 	45 ft		774 ft	00:00:15	35 mph	265° true
Trackpoint	N42 47.795 W70 49.961	5/21/2006 12:40:40 PM 	45 ft		792 ft	00:00:15	36 mph	264° true
Trackpoint	N42 47.782 W70 50.128	5/21/2006 12:40:55 PM 	48 ft		752 ft	00:00:15	34 mph	264° true
Trackpoint	N42 47.770 W70 50.295	5/21/2006 12:41:10 PM 	46 ft		751 ft	00:00:15	34 mph	265° true
Trackpoint	N42 47.761 W70 50.456	5/21/2006 12:41:25 PM 	46 ft		721 ft	00:00:15	33 mph	266° true
Trackpoint	N42 47.809 W70 50.580	5/21/2006 12:41:40 PM 	48 ft		624 ft	00:00:15	28 mph	298° true
Trackpoint	N42 47.872 W70 50.711	5/21/2006 12:41:55 PM 	51 ft		701 ft	00:00:15	32 mph	303° true
Trackpoint	N42 47.935 W70 50.845	5/21/2006 12:42:10 PM 	54 ft		711 ft	00:00:15	32 mph	303° true
Trackpoint	N42 48.002 W70 50.964	5/21/2006 12:42:25 PM 	51 ft		668 ft	00:00:15	30 mph	308° true
Trackpoint	N42 48.070 W70 51.074	5/21/2006 12:42:40 PM 	40 ft		646 ft	00:00:15	29 mph	310° true
Trackpoint	N42 48.149 W70 51.182	5/21/2006 12:42:55 PM 	40 ft		680 ft	00:00:15	31 mph	315° true
Trackpoint	N42 48.239 W70 51.240	5/21/2006 12:43:10 PM 	35 ft		607 ft	00:00:15	28 mph	335° true
Trackpoint	N42 48.281 W70 51.314	5/21/2006 12:43:25 PM 	43 ft		417 ft	00:00:15	19 mph	308° true
Trackpoint	N42 48.304 W70 51.374	5/21/2006 12:43:40 PM 	46 ft		305 ft	00:00:15	14 mph	298° true
Trackpoint	N42 48.246 W70 51.471	5/21/2006 12:43:55 PM 	56 ft		557 ft	00:00:15	25 mph	231° true
Trackpoint	N42 48.178 W70 51.597	5/21/2006 12:44:10 PM 	62 ft		700 ft	00:00:15	32 mph	234° true
